Test MSE,Train loss,Valid MSE,epoch,step
,,380.31011962890625,0,0
,,379.8674011230469,1,1
,,379.41265869140625,2,2
,,378.9497985839844,3,3
,,378.4863586425781,4,4
,,378.01568603515625,5,5
,,377.5361328125,6,6
,,377.0499572753906,7,7
,,376.5457763671875,8,8
,,376.0240783691406,9,9
,,375.4837341308594,10,10
,,374.93011474609375,11,11
,,374.3570861816406,12,12
,,373.7624816894531,13,13
,,373.14105224609375,14,14
,,372.4911804199219,15,15
,,371.81341552734375,16,16
,,371.09814453125,17,17
,,370.34747314453125,18,18
,,369.54864501953125,19,19
,,368.70635986328125,20,20
,,367.8251037597656,21,21
,,366.8985900878906,22,22
,,365.9234924316406,23,23
,,364.8988342285156,24,24
,,363.82598876953125,25,25
,,362.70562744140625,26,26
,,361.5274353027344,27,27
,,360.2749938964844,28,28
,,358.9735107421875,29,29
,,357.6136474609375,30,30
,,356.1716613769531,31,31
,,354.6514892578125,32,32
,,353.0508728027344,33,33
,,351.3727722167969,34,34
,,349.62969970703125,35,35
,,347.8113708496094,36,36
,,345.9216003417969,37,37
,,343.95550537109375,38,38
,,341.9150390625,39,39
,,339.7977600097656,40,40
,,337.61334228515625,41,41
,,335.3349914550781,42,42
,,332.9646911621094,43,43
,,330.5146789550781,44,44
,,327.96710205078125,45,45
,,325.33428955078125,46,46
,,322.61688232421875,47,47
,,319.8165283203125,48,48
,319.39764404296875,,49,49
,,316.926025390625,49,49
,,313.9450988769531,50,50
,,310.87103271484375,51,51
,,307.7027282714844,52,52
,,304.44232177734375,53,53
,,301.0888977050781,54,54
,,297.64227294921875,55,55
,,294.0924377441406,56,56
,,290.44403076171875,57,57
,,286.70770263671875,58,58
,,282.87713623046875,59,59
,,278.95733642578125,60,60
,,274.9457092285156,61,61
,,270.8462829589844,62,62
,,266.6607666015625,63,63
,,262.3890380859375,64,64
,,258.0193786621094,65,65
,,253.56607055664062,66,66
,,249.03170776367188,67,67
,,244.4240264892578,68,68
,,239.74658203125,69,69
,,235.0039520263672,70,70
,,230.19241333007812,71,71
,,225.3164825439453,72,72
,,220.37680053710938,73,73
,,215.3743133544922,74,74
,,210.31396484375,75,75
,,205.1964111328125,76,76
,,200.02835083007812,77,77
,,194.8119354248047,78,78
,,189.54501342773438,79,79
,,184.2521514892578,80,80
,,178.90762329101562,81,81
,,173.5313262939453,82,82
,,168.1522216796875,83,83
,,162.7775115966797,84,84
,,157.38784790039062,85,85
,,152.0137939453125,86,86
,,146.65245056152344,87,87
,,141.31161499023438,88,88
,,136.00100708007812,89,89
,,130.7265167236328,90,90
,,125.4857406616211,91,91
,,120.31114196777344,92,92
,,115.21189880371094,93,93
,,110.19677734375,94,94
,,105.25065612792969,95,95
,,100.3958969116211,96,96
,,95.6485366821289,97,97
,,91.018310546875,98,98
,50.260398864746094,,99,99
,,86.51577758789062,99,99
86.51577758789062,,,100,100
