Train loss,Valid MSE,epoch,step
,381.5585021972656,0,0
,381.1630554199219,1,1
,380.76666259765625,2,2
,380.36212158203125,3,3
,379.9523010253906,4,4
,379.5333251953125,5,5
,379.1004943847656,6,6
,378.6476135253906,7,7
,378.17291259765625,8,8
,377.6776123046875,9,9
,377.1598205566406,10,10
,376.60791015625,11,11
,376.0225524902344,12,12
,375.38909912109375,13,13
,374.72100830078125,14,14
,374.02484130859375,15,15
,373.2954406738281,16,16
,372.5313415527344,17,17
,371.6987609863281,18,18
,370.81134033203125,19,19
,369.8564758300781,20,20
,368.83526611328125,21,21
,367.7636413574219,22,22
,366.6455993652344,23,23
,365.4786071777344,24,24
,364.24609375,25,25
,362.9450988769531,26,26
,361.58575439453125,27,27
,360.1583557128906,28,28
,358.6574401855469,29,29
,357.083984375,30,30
,355.43707275390625,31,31
,353.7147216796875,32,32
,351.914306640625,33,33
,350.03887939453125,34,34
,348.08282470703125,35,35
,346.043701171875,36,36
,343.92340087890625,37,37
,341.71429443359375,38,38
,339.41741943359375,39,39
,337.0179443359375,40,40
,334.51861572265625,41,41
,331.9236755371094,42,42
,329.23956298828125,43,43
,326.4687805175781,44,44
,323.5966796875,45,45
,320.630859375,46,46
,317.5672607421875,47,47
,314.40899658203125,48,48
319.5772399902344,,49,49
,311.1513671875,49,49
,307.77642822265625,50,50
,304.3109130859375,51,51
,300.7528076171875,52,52
,297.092041015625,53,53
,293.31048583984375,54,54
,289.42510986328125,55,55
,285.4455261230469,56,56
,281.36669921875,57,57
,277.19012451171875,58,58
,272.9107971191406,59,59
,268.533203125,60,60
,264.0478210449219,61,61
,259.47088623046875,62,62
,254.8127899169922,63,63
,250.0807342529297,64,64
,245.2728729248047,65,65
,240.3687744140625,66,66
,235.3804168701172,67,67
,230.30618286132812,68,68
,225.1476593017578,69,69
,219.92529296875,70,70
,214.629638671875,71,71
,209.27041625976562,72,72
,203.84925842285156,73,73
,198.37680053710938,74,74
,192.85037231445312,75,75
,187.2730255126953,76,76
,181.65892028808594,77,77
,176.00222778320312,78,78
,170.3135223388672,79,79
,164.6117706298828,80,80
,158.9066619873047,81,81
,153.1802978515625,82,82
,147.4722900390625,83,83
,141.77737426757812,84,84
,136.09744262695312,85,85
,130.44236755371094,86,86
,124.83061218261719,87,87
,119.27726745605469,88,88
,113.7917251586914,89,89
,108.37931823730469,90,90
,103.04178619384766,91,91
,97.795166015625,92,92
,92.65284729003906,93,93
,87.62492370605469,94,94
,82.72018432617188,95,95
,77.9537124633789,96,96
,73.33003997802734,97,97
,68.85743713378906,98,98
49.005794525146484,,99,99
,64.53749084472656,99,99
