epoch,step,train_loss,val_loss
0,28,,0.2020963430404663
1,49,0.5124770402908325,
1,57,,0.19033238291740417
2,86,,0.166916161775589
3,99,0.3695264160633087,
3,115,,0.15124672651290894
4,144,,0.1432616263628006
5,149,0.36980897188186646,
5,173,,0.137399360537529
6,199,0.4061904847621918,
6,202,,0.12697777152061462
7,231,,0.11466118693351746
8,249,0.26803943514823914,
8,260,,0.10928521305322647
9,289,,0.10123151540756226
10,299,0.2958069145679474,
10,318,,0.09110409766435623
11,347,,0.0834166631102562
12,349,0.2151077836751938,
12,376,,0.07850997895002365
13,399,0.20080368220806122,
13,405,,0.07596579194068909
14,434,,0.07046394050121307
15,449,0.1957666128873825,
15,463,,0.07155643403530121
16,492,,0.07089348137378693
17,499,0.22714769840240479,
17,521,,0.062458425760269165
18,549,0.1730082631111145,
18,550,,0.06350669264793396
19,579,,0.06289999932050705
20,599,0.20194533467292786,
20,608,,0.06179327890276909
21,637,,0.05657350644469261
22,649,0.15729162096977234,
22,666,,0.052811723202466965
23,695,,0.050861895084381104
24,699,0.14613787829875946,
24,724,,0.04995851591229439
25,749,0.14504647254943848,
25,753,,0.04857393354177475
26,782,,0.04863394796848297
27,799,0.09608583152294159,
27,811,,0.04603017121553421
28,840,,0.04419109225273132
29,849,0.10144908726215363,
29,869,,0.04486662894487381
30,898,,0.04220481216907501
31,899,0.08444388210773468,
31,927,,0.042581118643283844
32,949,0.0888461023569107,
32,956,,0.04015013203024864
33,985,,0.040820103138685226
34,999,0.08924468606710434,
34,1014,,0.03968867287039757
35,1043,,0.03894057497382164
36,1049,0.09226817637681961,
36,1072,,0.03719210624694824
37,1099,0.11354232579469681,
37,1101,,0.037244491279125214
38,1130,,0.03839430585503578
39,1149,0.08385516703128815,
39,1159,,0.03811827674508095
40,1188,,0.03668486699461937
41,1199,0.06467536091804504,
41,1217,,0.035720061510801315
42,1246,,0.03351258486509323
43,1249,0.06151829659938812,
43,1275,,0.03356299549341202
44,1299,0.07721628248691559,
44,1304,,0.032891880720853806
45,1333,,0.03246117755770683
46,1349,0.08787856996059418,
46,1362,,0.03234391659498215
47,1391,,0.03186769410967827
48,1399,0.06881606578826904,
48,1420,,0.032620400190353394
49,1449,0.07902772724628448,
49,1449,,0.03147762641310692
50,1478,,0.03093765489757061
51,1499,0.053156472742557526,
51,1507,,0.03018210642039776
52,1536,,0.029927024617791176
53,1549,0.05746849626302719,
53,1565,,0.029834724962711334
54,1594,,0.02979862317442894
55,1599,0.06937934458255768,
55,1623,,0.02811354398727417
56,1649,0.05327485501766205,
56,1652,,0.028469109907746315
57,1681,,0.02806737832725048
58,1699,0.057648345828056335,
58,1710,,0.027176331728696823
59,1739,,0.027384813874959946
60,1749,0.05205730348825455,
60,1768,,0.02768823690712452
61,1797,,0.027198007330298424
62,1799,0.03396972268819809,
62,1826,,0.026711944490671158
63,1849,0.0638929083943367,
63,1855,,0.026411619037389755
64,1884,,0.025431159883737564
65,1899,0.05461602285504341,
65,1913,,0.025952238589525223
66,1942,,0.025396354496479034
67,1949,0.03752472624182701,
67,1971,,0.024968253448605537
68,1999,0.04855348914861679,
68,2000,,0.024953020736575127
69,2029,,0.024903085082769394
70,2049,0.049415528774261475,
70,2058,,0.023906247690320015
71,2087,,0.023759586736559868
72,2099,0.03998227417469025,
72,2116,,0.023747742176055908
73,2145,,0.024038497358560562
74,2149,0.04687849059700966,
74,2174,,0.024375734850764275
75,2199,0.04703076183795929,
75,2203,,0.023639099672436714
76,2232,,0.023052088916301727
77,2249,0.04108243063092232,
77,2261,,0.022352522239089012
78,2290,,0.023501450195908546
79,2299,0.04012225940823555,
79,2319,,0.02209586091339588
80,2348,,0.021785790100693703
81,2349,0.03571498394012451,
81,2377,,0.022519726306200027
82,2399,0.035879723727703094,
82,2406,,0.02226218581199646
83,2435,,0.02224966697394848
84,2449,0.0363466776907444,
84,2464,,0.02171085588634014
85,2493,,0.021382184699177742
86,2499,0.0437302328646183,
86,2522,,0.02093009650707245
87,2549,0.03396705538034439,
87,2551,,0.02106541581451893
88,2580,,0.020949292927980423
89,2599,0.03381013497710228,
89,2609,,0.021269872784614563
90,2638,,0.02072366327047348
91,2649,0.03449749946594238,
91,2667,,0.02141786925494671
92,2696,,0.020971031859517097
93,2699,0.0367576889693737,
93,2725,,0.020691709592938423
94,2749,0.03383702039718628,
94,2754,,0.020124197006225586
95,2783,,0.02017306722700596
96,2799,0.040129147469997406,
96,2812,,0.02026582509279251
97,2841,,0.02001812495291233
98,2849,0.03334188088774681,
98,2870,,0.020016971975564957
99,2899,0.023789258673787117,
99,2899,,0.019792914390563965
100,2928,,0.01931004971265793
101,2949,0.03171960636973381,
101,2957,,0.01968315802514553
102,2986,,0.019433485344052315
103,2999,0.03103673830628395,
103,3015,,0.019176986068487167
104,3044,,0.019249549135565758
105,3049,0.03045358881354332,
105,3073,,0.018755456432700157
106,3099,0.02504664845764637,
106,3102,,0.018974121659994125
107,3131,,0.01853836327791214
108,3149,0.036818474531173706,
108,3160,,0.01886095106601715
